PAU5	sce:YFL020C
MDM10	sce:YAL010C
SKO1	sce:YNL167C
KIN82	sce:YCR091W
AIM26	sce:YKL037W
TAF11	sce:YML015C
STS1	sce:YIR011C
NA	sce:YGR240C-A
SEC17	sce:YBL050W
ECM29	sce:YHL030W
COA2	sce:YPL189C-A
LIP1	sce:YMR298W
THI20	sce:YOL055C
JLP2	sce:YMR132C
FSH1	sce:YHR049W
MAD2	sce:YJL030W
YCG1	sce:YDR325W
BUL1	sce:YMR275C
LAA1	sce:YJL207C
SEM1	sce:YDR363W-A
ENA5	sce:YDR038C
ELM1	sce:YKL048C
VPS16	sce:YPL045W
RNT1	sce:YMR239C
NMD4	sce:YLR363C
ICL2	sce:YPR006C
RPL10	sce:YLR075W
MCM1	sce:YMR043W
ASI3	sce:YNL008C
NA	sce:YLR363W-A
AMF1	sce:YOR378W
UBX7	sce:YBR273C
CDC19	sce:YAL038W
TRM5	sce:YHR070W
HOS1	sce:YPR068C
NA	sce:YJR120W
BMT5	sce:YIL096C
COX12	sce:YLR038C
RPS13	sce:YDR064W
SWM2	sce:YNR004W
FLX1	sce:YIL134W
QDR2	sce:YIL121W
SEC22	sce:YLR268W
HLJ1	sce:YMR161W
VHR2	sce:YER064C
SLM4	sce:YBR077C
CTR86	sce:YCR054C
NA	sce:YNR066C
YIA6	sce:YIL006W
NSE1	sce:YLR007W
RSM24	sce:YDR175C
CSI1	sce:YMR025W
BCS1	sce:YDR375C
ECM32	sce:YER176W
APE4	sce:YHR113W
TSR1	sce:YDL060W
CMG1	sce:YLR271W
HDA3	sce:YPR179C
SIA1	sce:YOR137C
MRPL8	sce:YJL063C
NA	sce:YBR056W
HST4	sce:YDR191W
TIF3	sce:YPR163C
MPT5	sce:YGL178W
ATG26	sce:YLR189C
ATG40	sce:YOR152C
UNG1	sce:YML021C
ALR2	sce:YFL050C
MRX6	sce:YNL295W
LYS4	sce:YDR234W
FMP45	sce:YDL222C
RPL18B	sce:YNL301C
RCE1	sce:YMR274C
MSK1	sce:YNL073W
RIF1	sce:YBR275C
AIM11	sce:YER093C-A
ABF1	sce:YKL112W
PSO2	sce:YMR137C
BMT6	sce:YLR063W
EGH1	sce:YIR007W
ATG16	sce:YMR159C
DCG1	sce:YIR030C
MRPL20	sce:YKR085C
MNP1	sce:YGL068W
FRM2	sce:YCL026C-A
HST1	sce:YOL068C
ADK2	sce:YER170W
YPS5	sce:YGL259W
MCM10	sce:YIL150C
RPL18A	sce:YOL120C
YUH1	sce:YJR099W
FRE2	sce:YKL220C
DAN1	sce:YJR150C
RGR1	sce:YLR071C
FZF1	sce:YGL254W
KKQ8	sce:YKL168C
COX6	sce:YHR051W
SPO22	sce:YIL073C
TOS1	sce:YBR162C
EPT1	sce:YHR123W
WSC4	sce:YHL028W
IST1	sce:YNL265C
SNG1	sce:YGR197C
CDC16	sce:YKL022C
SEC23	sce:YPR181C
PAD1	sce:YDR538W
PUF6	sce:YDR496C
DBP10	sce:YDL031W
CCT6	sce:YDR188W
VPS38	sce:YLR360W
NA	sce:YBR219C
BET1	sce:YIL004C
MRPS28	sce:YDR337W
YLH47	sce:YPR125W
CYB2	sce:YML054C
NOT3	sce:YIL038C
SGM1	sce:YJR134C
MRX8	sce:YDR336W
NA	sce:YPL107W
GRS2	sce:YPR081C
APE1	sce:YKL103C
DAL81	sce:YIR023W
NA	sce:YDR524C-B
NA	sce:YLR342W-A
NSA1	sce:YGL111W
RSE1	sce:YML049C
JJJ2	sce:YJL162C
HXT13	sce:YEL069C
NBP35	sce:YGL091C
YEF3	sce:YLR249W
TAD3	sce:YLR316C
ERG7	sce:YHR072W
NMA1	sce:YLR328W
RPB9	sce:YGL070C
CHS3	sce:YBR023C
UCC1	sce:YLR224W
UTR4	sce:YEL038W
ERG2	sce:YMR202W
VPS64	sce:YDR200C
NA	sce:YFR016C
VPS62	sce:YGR141W
NA	sce:YNL217W
DGR2	sce:YKL121W
ATF2	sce:YGR177C
LSB5	sce:YCL034W
NA	sce:YAL067W-A
TAT2	sce:YOL020W
NPP1	sce:YCR026C
MEC1	sce:YBR136W
ISN1	sce:YOR155C
NAB2	sce:YGL122C
HNT3	sce:YOR258W
TUL1	sce:YKL034W
NA	sce:YHR050W-A
MCD4	sce:YKL165C
SRP21	sce:YKL122C
PAU23	sce:YLR037C
UBC12	sce:YLR306W
PYK2	sce:YOR347C
MET22	sce:YOL064C
PPN1	sce:YDR452W
YPS7	sce:YDR349C
