Gene Symbol	hsa:ENTREZ_GENE_ID
CDC14C	hsa:168448
SULT1C4	hsa:27233
TEAD1	hsa:7003
CATSPER2	hsa:117155
POU5F2	hsa:134187
RXFP2	hsa:122042
BEND7	hsa:222389
SLC18A2	hsa:6571
SSMEM1	hsa:136263
MAB21L3	hsa:126868
LOC285696	hsa:285696
MIER3	hsa:166968
SDE2	hsa:163859
SLC35G3	hsa:83650
UROC1	hsa:131669
PCDH15	hsa:65217
TNRC6A	hsa:27327
KCNA6	hsa:3742
ARID2	hsa:196528
AMER3	hsa:205147
OTUD7A	hsa:161725
ERVW-1	hsa:30816
LINC00889	hsa:158696
FBXL18	hsa:80028
C6orf195	hsa:154386
PNPLA1	hsa:285848
DEPDC4	hsa:120863
ANKRD23	hsa:51239
COX6B2	hsa:125965
FAM129C	hsa:199786
EPHA10	hsa:284656
WDR64	hsa:128025
PRO2949	hsa:55412
BTBD9	hsa:114781
HEATR9	hsa:256957
PARP15	hsa:165631
ARHGAP42	hsa:143872
LINC01101	hsa:84931
MFSD2A	hsa:84879
ATM	hsa:472
FAM26D	hsa:221301
NPHP3	hsa:27031
ATG9B	hsa:285973
CXorf58	hsa:254158
EFCAB3	hsa:146779
TFAP2B	hsa:7021
CCDC13	hsa:152206
CRHR1-IT1	hsa:147081
MRGPRX1	hsa:259249
HFE	hsa:3077
RLN3	hsa:117579
CSMD1	hsa:64478
MACF1	hsa:23499
ADAMTS20	hsa:80070
SALL3	hsa:27164
AGBL4	hsa:84871
FLJ13744	hsa:80078
SLC17A8	hsa:246213
C11orf44	hsa:283171
SATB2-AS1	hsa:150538
RBFOX1	hsa:54715
SLFN13	hsa:146857
C12orf40	hsa:283461
WDR65	hsa:149465
C5orf64	hsa:285668
ADAMTS15	hsa:170689
LY86-AS1	hsa:285780
FLJ31713	hsa:158263
EDARADD	hsa:128178
LOC101060424	hsa:146183
CCDC171	hsa:203238
CYP4Z2P	hsa:163720
C18orf15	hsa:147276
MUC19	hsa:283463
KLHDC7A	hsa:127707
C11orf72	hsa:100505621
AQP4-AS1	hsa:147429
CNTNAP4	hsa:85445
FER1L6-AS1	hsa:439941
C1orf127	hsa:148345
LOC100996634	hsa:100996634
AGBL1	hsa:123624
FLJ34503	hsa:285759
LINC00304	hsa:283860
CCDC79	hsa:283847
MYO1H	hsa:283446
ASB14	hsa:142686
RPTN	hsa:126638
LINC00269	hsa:100996279
VSTM4	hsa:196740
CCDC150	hsa:284992
C2orf61	hsa:285051
FAM9B	hsa:171483
FLJ40288	hsa:286023
CES5A	hsa:221223
CHDC2	hsa:286464
DCAF8L2	hsa:347442
HYDIN2	hsa:100288805
DNAH17	hsa:8632
SLC35G3	hsa:146861
FLJ32955	hsa:150596
LOC100288966	hsa:100288966
KIRREL3-AS3	hsa:283165
TMEM145	hsa:284339
C15orf32	hsa:145858
TSGA10IP	hsa:254187
LINC00477	hsa:144360
CCDC140	hsa:151278
C17orf78	hsa:284099
TEKT5	hsa:146279
KSR2	hsa:283455
PAX1	hsa:5075
TDH	hsa:157739
LINC00615	hsa:439916
SERPINA9	hsa:327657
FBXL21	hsa:26223
AKAP2	hsa:11217
MRGPRX4	hsa:117196
A2ML1	hsa:144568
CPO	hsa:130749
GPR6	hsa:2830
MDS2	hsa:259283
RQCD1	hsa:9125
GJD3	hsa:125111
HOXC12	hsa:3228
VNN3	hsa:55350
MYEOV2	hsa:150678
FERD3L	hsa:222894
DEFT1P	hsa:170949
LINC00314	hsa:246705
DEFB104A	hsa:140596
NLRP14	hsa:338323
DGKB	hsa:1607
NLRP13	hsa:126204
NLRP8	hsa:126205
NLRP9	hsa:338321
TAF5	hsa:6877
TAS1R2	hsa:80834
ITGB1	hsa:3688
PCSK6	hsa:5046
ZNF341	hsa:84905
JPH1	hsa:56704
NLRP10	hsa:338322
RANGAP1	hsa:5905
MBNL2	hsa:10150
KRT73	hsa:319101
COX1	hsa:4512
KRT74	hsa:121391
SLC29A2	hsa:3177
LMX1A	hsa:4009
CCDC125	hsa:202243
GPR101	hsa:83550
ILDR1	hsa:286676
VN1R2	hsa:317701
VN1R5	hsa:317705
ND2	hsa:4536
TAAR8	hsa:83551
TAS2R39	hsa:259285
TAS2R38	hsa:5726
TAS2R40	hsa:259286
TAS2R41	hsa:259287
TMEM171	hsa:134285
VN1R4	hsa:317703
TAS2R50	hsa:259296
CD8B	hsa:926
MACROD2	hsa:140733
DDAH1	hsa:23576
PIANP	hsa:196500
ATP6	hsa:4508
HIST1H1T	hsa:3010
COX2	hsa:4513
CYGB	hsa:114757
EFNA2	hsa:1943
