abst#sce:YFR026C	25.771	16.663	49.481	35.222	15.069	43.276	19.757	11.576	34.972	6.79	15.816	55.622	6.12	9.93	50.208	20.037	55.666	91.816	21.645	19.53	91.473
abst#sce:YGL161C	26.816	24.135	72.835	55.298	18.826	97.978	33.418	17.979	79.351	29.369	47.902	104.103	25.273	22.187	92.001	43.986	76.843	148.288	43.391	31.073	133.99
abst#sce:YFL011W	0	6.593	1.134	8.395	0	2.047	0	0	0.122	0.967	0	3.872	1.588	0	0	4.08	0	0	0	0	14.344
abst#sce:YJR017C	80.776	52.224	83.908	98.131	60.425	176.708	72.344	52.972	118.294	43.63	97.344	125.092	52.337	49.013	118.065	50.75	150.875	104.156	35.352	42.47	117.823
abst#sce:YER088C	733.343	514.849	1541.125	1078.541	517.627	1610.965	1059.615	523.387	1434.329	268.061	666.102	2901.942	345.783	627.942	2600.602	1185.219	2738.763	3300.743	818.514	577.726	2634.826
abst#sce:YLR370C	193.032	134.928	337.554	272.149	130.268	416.74	194.198	116.394	282.76	103.921	240.222	473.424	103.231	127.844	490.983	192.617	471.033	543.632	196.626	141.877	576.525
abst#sce:YML097C	176.681	103.838	326.731	276.191	90.453	370.558	155.658	77.268	212.558	58.353	141.835	297.594	46.934	54.836	230.698	90.816	167.317	259.729	78.655	54.338	273.49
abst#sce:YLR117C	283.53	187.027	309.334	326.11	174.011	380.773	227.289	146.689	259.378	105.965	239.308	418.57	88.371	139.17	426.872	220.162	524.846	532.31	214.319	173.439	635.208
abst#sce:YGR037C	69.067	47.886	91.919	92.903	51.294	146.711	87.312	46.16	81.119	66.322	54.744	135.527	67.575	49.489	127.524	65.891	162.658	158.721	88.49	49.296	129.085
abst#sce:YNL024C	23.516	10.137	36.948	26.713	9.621	47.102	21.424	13.026	37.056	18.748	21.963	41.013	17.537	6.077	36.019	15.813	31.629	33.423	13.258	7.897	22.157
abst#sce:YOL111C	126.198	92.433	266.489	128.48	74.241	275.555	129.669	78.639	193.781	42.233	121.725	404.144	67.803	98.931	330.873	122.46	232.917	362.977	106.844	104.121	362.577
abst#sce:YOL010W	621.022	245.843	616.927	612.934	233.742	744.898	456.048	225.211	572.5	243.378	560.203	764.834	230.729	221.536	556.891	365.192	483.567	661.958	379.575	231.325	626.442
abst#sce:YNL318C	27.287	14.693	29.717	32.499	12.331	39.131	29.69	18.06	27.536	10.185	25.72	27.783	6.774	6.463	28.541	23.31	22.13	36.402	26.649	11.549	37.594
abst#sce:YOR022C	82.482	49.742	151.129	90.876	37.453	131.611	69.415	38.049	82.587	30.543	77.741	171.608	27.599	38.827	266.404	100.213	210.965	359.835	196.258	121.321	559.255
abst#sce:YLR084C	244.474	177.002	499.441	328.401	154.865	384.183	216.246	67.353	342.141	28.285	415.018	482.913	45.782	99.463	428.575	160.361	348.161	424.767	159.64	119.193	524.57
abst#sce:YFR033C	404.282	296.274	650.271	512.462	256.387	1044.349	428.359	264.638	589.815	342.476	585.297	950.041	275.334	275.242	935.995	367.661	1053.368	958.261	428.498	354.763	1146.612
abst#sce:YGL146C	5.473	5.891	7.732	4.862	1.232	22.326	5.057	9.041	12.267	6.943	11.818	12.983	7.216	5.058	4.945	5.996	11.558	31.009	6.119	9.475	18.994
abst#sce:YFR006W	96.486	133.608	303.083	184.184	105.161	352.412	176.919	99.993	212.733	53.848	178.824	398.548	72.108	86.696	391.114	155.229	330.73	275.374	149.681	79.818	361.832
abst#sce:YJR024C	51.822	47.635	89.813	47.975	16.753	87.502	30.318	22.789	69.142	14.364	29.183	84.886	30.115	10.865	53.469	30.898	32.343	89.85	23.846	21.541	87.188
abst#sce:YER103W	186.543	66.135	127.417	164.788	53.796	137.035	138.425	60.227	127.062	45.847	105.142	228.766	85.902	53.618	264.609	155.552	210.348	420.819	349.254	185.771	474.709
abst#sce:YLR374C	209.362	91.698	217.306	210.75	83.974	250.897	158.498	89.447	211.79	114.885	247.489	263.044	102.934	69.15	260.091	139.665	249.041	302.063	186.789	112.951	303.342
abst#sce:YML083C	0	6.024	6.754	0	0.599	7.641	1.22	1.982	10.304	3.335	3.326	0.576	5.054	0	0	4.715	0	11.532	1.038	0	16.463
abst#sce:YLR139C	432.605	273.293	738.766	563.054	247.056	916.165	457.375	237.191	504.767	97.111	320.031	854.69	110.697	198.018	751.482	332.011	782.159	699.158	289.073	182.631	815.376
